RACE,OFFENSE,0,RACE,OFFENSE,0,%,Total Pre-trial,Total Sentenced After Pre-trial,%
AMER IND,"ASSAULT, FIRST DEGREE                 BF",1,AMER IND,"ASSAULT, FIRST DEGREE                 BF",1,100,50,9,18
AMER IND,"ASSAULT, THIRD DEGREE                 AM",1,,,0,0,,,
AMER IND,"BURGLARY, THIRD DEGREE                DF",2,AMER IND,"BURGLARY, THIRD DEGREE                DF",1,50,,,
AMER IND,CRIM VIOL OF PROTECTIVE ORDER         DF,2,,,,0,,,
AMER IND,"FAILURE TO APPEAR, FIRST DEGREE       DF",3,,,,0,,,
AMER IND,"FAILURE TO APPEAR, SECOND DEGREE      AM",4,AMER IND,"FAILURE TO APPEAR, SECOND DEGREE      AM",1,25,,,
AMER IND,INJURY OR RISK OF INJURY TO MINOR      F,2,,,,0,,,
AMER IND,OTHERS,30,AMER IND,OTHERS,2,6.666666667,,,
AMER IND,"ROBBERY, FIRST DEGREE                 BF",2,AMER IND,"ROBBERY, FIRST DEGREE                 BF",2,100,,,
AMER IND,VIOLATION OF PROBATION OR COND DISCHG,3,AMER IND,VIOLATION OF PROBATION OR COND DISCHG,2,66.66666667,,,
ASIAN,"ASSAULT, FIRST DEGREE                 BF",1,,,,0,120,14,11.66666667
ASIAN,"ASSAULT, THIRD DEGREE                 AM",4,,,,0,,,
ASIAN,"BURGLARY, THIRD DEGREE                DF",5,,,,0,,,
ASIAN,CRIM VIOL OF PROTECTIVE ORDER         DF,6,ASIAN,CRIM VIOL OF PROTECTIVE ORDER         DF,1,16.66666667,,,
ASIAN,"FAILURE TO APPEAR, FIRST DEGREE       DF",1,,,,0,,,
ASIAN,"FAILURE TO APPEAR, SECOND DEGREE      AM",8,,,,0,,,
ASIAN,INJURY OR RISK OF INJURY TO MINOR      F,3,,,,0,,,
ASIAN,OTHERS,77,ASIAN,OTHERS,7,9.090909091,,,
ASIAN,"ROBBERY, FIRST DEGREE                 BF",3,ASIAN,"ROBBERY, FIRST DEGREE                 BF",2,66.66666667,,,
ASIAN,VIOLATION OF PROBATION OR COND DISCHG,12,ASIAN,VIOLATION OF PROBATION OR COND DISCHG,4,33.33333333,,,
BLACK,"ASSAULT, FIRST DEGREE                 BF",107,BLACK,"ASSAULT, FIRST DEGREE                 BF",34,31.77570093,5711,1057,18.50814218
BLACK,"ASSAULT, THIRD DEGREE                 AM",199,BLACK,"ASSAULT, THIRD DEGREE                 AM",30,15.07537688,,,
BLACK,"BURGLARY, THIRD DEGREE                DF",140,BLACK,"BURGLARY, THIRD DEGREE                DF",34,24.28571429,,,
BLACK,CRIM VIOL OF PROTECTIVE ORDER         DF,257,BLACK,CRIM VIOL OF PROTECTIVE ORDER         DF,54,21.01167315,,,
BLACK,CRIMINAL POSSESSION OF A PISTOL       DF,111,BLACK,CRIMINAL POSSESSION OF A PISTOL       DF,35,31.53153153,,,
BLACK,"FAILURE TO APPEAR, FIRST DEGREE       DF",196,BLACK,"FAILURE TO APPEAR, FIRST DEGREE       DF",36,18.36734694,,,
BLACK,"FAILURE TO APPEAR, SECOND DEGREE      AM",255,BLACK,"FAILURE TO APPEAR, SECOND DEGREE      AM",18,7.058823529,,,
BLACK,INJURY OR RISK OF INJURY TO MINOR      F,285,BLACK,INJURY OR RISK OF INJURY TO MINOR      F,38,13.33333333,,,
BLACK,OTHERS,3196,BLACK,OTHERS,475,14.86232791,,,
BLACK,"ROBBERY, FIRST DEGREE                 BF",87,BLACK,"ROBBERY, FIRST DEGREE                 BF",27,31.03448276,,,
BLACK,VIOLATION OF PROBATION OR COND DISCHG,878,BLACK,VIOLATION OF PROBATION OR COND DISCHG,276,31.43507973,,,
HISPANIC,"ASSAULT, FIRST DEGREE                 BF",52,HISPANIC,"ASSAULT, FIRST DEGREE                 BF",19,36.53846154,4141,718,17.33880705
HISPANIC,"ASSAULT, THIRD DEGREE                 AM",139,HISPANIC,"ASSAULT, THIRD DEGREE                 AM",20,14.38848921,,,
HISPANIC,"BURGLARY, THIRD DEGREE                DF",107,HISPANIC,"BURGLARY, THIRD DEGREE                DF",33,30.8411215,,,
HISPANIC,CRIM VIOL OF PROTECTIVE ORDER         DF,205,HISPANIC,CRIM VIOL OF PROTECTIVE ORDER         DF,27,13.17073171,,,
HISPANIC,CRIMINAL POSSESSION OF A PISTOL       DF,42,HISPANIC,CRIMINAL POSSESSION OF A PISTOL       DF,16,38.0952381,,,
HISPANIC,"FAILURE TO APPEAR, FIRST DEGREE       DF",144,HISPANIC,"FAILURE TO APPEAR, FIRST DEGREE       DF",19,13.19444444,,,
HISPANIC,"FAILURE TO APPEAR, SECOND DEGREE      AM",241,HISPANIC,"FAILURE TO APPEAR, SECOND DEGREE      AM",16,6.639004149,,,
HISPANIC,INJURY OR RISK OF INJURY TO MINOR      F,261,HISPANIC,INJURY OR RISK OF INJURY TO MINOR      F,28,10.72796935,,,
HISPANIC,OTHERS,2290,HISPANIC,OTHERS,330,14.41048035,,,
HISPANIC,"ROBBERY, FIRST DEGREE                 BF",57,HISPANIC,"ROBBERY, FIRST DEGREE                 BF",13,22.80701754,,,
HISPANIC,VIOLATION OF PROBATION OR COND DISCHG,603,HISPANIC,VIOLATION OF PROBATION OR COND DISCHG,197,32.66998342,,,
WHITE,"ASSAULT, FIRST DEGREE                 BF",34,WHITE,"ASSAULT, FIRST DEGREE                 BF",7,20.58823529,6112,1109,18.14463351
WHITE,"ASSAULT, THIRD DEGREE                 AM",202,WHITE,"ASSAULT, THIRD DEGREE                 AM",32,15.84158416,,,
WHITE,"BURGLARY, THIRD DEGREE                DF",188,WHITE,"BURGLARY, THIRD DEGREE                DF",45,23.93617021,,,
WHITE,CRIM VIOL OF PROTECTIVE ORDER         DF,350,WHITE,CRIM VIOL OF PROTECTIVE ORDER         DF,61,17.42857143,,,
WHITE,CRIMINAL POSSESSION OF A PISTOL       DF,24,WHITE,CRIMINAL POSSESSION OF A PISTOL       DF,9,37.5,,,
WHITE,"FAILURE TO APPEAR, FIRST DEGREE       DF",221,WHITE,"FAILURE TO APPEAR, FIRST DEGREE       DF",43,19.45701357,,,
WHITE,"FAILURE TO APPEAR, SECOND DEGREE      AM",474,WHITE,"FAILURE TO APPEAR, SECOND DEGREE      AM",38,8.016877637,,,
WHITE,INJURY OR RISK OF INJURY TO MINOR      F,167,WHITE,INJURY OR RISK OF INJURY TO MINOR      F,22,13.17365269,,,
WHITE,OTHERS,3250,WHITE,OTHERS,434,13.35384615,,,
