,IDENTIFIER,LATEST ADMISSION DATE,RACE,GENDER,OFFENSE,Year
0,ZZSRHJZW,01/01/2018,WHITE,M,OTHERS,2018
1,ZZHWWESE,01/01/2018,BLACK,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018
2,ZZHLBLCC,01/02/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
3,ZZZLRESC,01/02/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
4,ZZELLSRS,01/02/2018,WHITE,M,"ASSAULT, FIRST DEGREE                 BF",2018
5,ZZHJJHZH,01/02/2018,HISPANIC,M,OTHERS,2018
6,ZZHRZCWS,01/02/2018,BLACK,F,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018
7,ZZSRHJEB,01/02/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
8,ZZSRHJEH,01/02/2018,WHITE,F,OTHERS,2018
9,ZZEBJCZL,01/02/2018,BLACK,M,"ASSAULT, THIRD DEGREE                 AM",2018
10,ZZSECHEJ,01/02/2018,WHITE,M,OTHERS,2018
11,ZZHLSJCJ,01/02/2018,WHITE,M,OTHERS,2018
12,ZZHLJHZW,01/02/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018
13,ZZSRHJEW,01/02/2018,HISPANIC,M,OTHERS,2018
14,ZZSEESHS,01/02/2018,BLACK,M,OTHERS,2018
15,ZZRSJZJR,01/02/2018,BLACK,M,OTHERS,2018
16,ZZHJJHHR,01/02/2018,WHITE,M,OTHERS,2018
17,ZZSRHSCL,01/02/2018,BLACK,M,OTHERS,2018
18,ZZSEEHER,01/02/2018,WHITE,M,OTHERS,2018
19,ZZHLRRCB,01/02/2018,BLACK,M,OTHERS,2018
20,ZZRWELJL,01/02/2018,BLACK,M,OTHERS,2018
21,ZZHLHHCC,01/02/2018,HISPANIC,M,INJURY OR RISK OF INJURY TO MINOR      F,2018
22,ZZHBHREL,01/02/2018,BLACK,F,OTHERS,2018
23,ZZHWEZJS,01/02/2018,BLACK,F,OTHERS,2018
24,ZZSRHJEC,01/02/2018,HISPANIC,M,"BURGLARY, THIRD DEGREE                DF",2018
25,ZZHCCEZH,01/02/2018,HISPANIC,M,OTHERS,2018
26,ZZHHBRBC,01/02/2018,HISPANIC,F,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018
27,ZZREJEJJ,01/02/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
28,ZZRREBLW,01/02/2018,BLACK,M,OTHERS,2018
29,ZZRLHJJL,01/02/2018,HISPANIC,M,INJURY OR RISK OF INJURY TO MINOR      F,2018
30,ZZRJREBC,01/02/2018,WHITE,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018
31,ZZSELRCL,01/02/2018,WHITE,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018
32,ZZHLRSLH,01/02/2018,HISPANIC,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018
33,ZZSRHJEE,01/02/2018,BLACK,M,OTHERS,2018
34,ZZHJJWBL,01/02/2018,BLACK,M,OTHERS,2018
35,ZZEZJRBB,01/02/2018,WHITE,M,OTHERS,2018
36,ZZSEBJES,01/02/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
37,ZZSRHJRR,01/02/2018,BLACK,F,OTHERS,2018
38,ZZHHWJBW,01/02/2018,HISPANIC,M,OTHERS,2018
39,ZZRWBEZJ,01/02/2018,HISPANIC,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018
40,ZZRECEZJ,01/02/2018,BLACK,M,OTHERS,2018
41,ZZHZWJEL,01/02/2018,BLACK,M,OTHERS,2018
42,ZZSRHJES,01/02/2018,HISPANIC,M,OTHERS,2018
43,ZZSRHJEJ,01/02/2018,HISPANIC,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018
44,ZZHZERJL,01/02/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
45,ZZHZRJBZ,01/02/2018,BLACK,M,OTHERS,2018
46,ZZSRHJEZ,01/02/2018,HISPANIC,M,OTHERS,2018
47,ZZHHRSWC,01/02/2018,BLACK,M,INJURY OR RISK OF INJURY TO MINOR      F,2018
48,ZZESBZSC,01/02/2018,BLACK,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018
49,ZZSRHJZJ,01/02/2018,HISPANIC,M,"ASSAULT, THIRD DEGREE                 AM",2018
50,ZZHJLZBH,01/02/2018,WHITE,F,OTHERS,2018
51,ZZRCEESB,01/02/2018,BLACK,M,OTHERS,2018
52,ZZHRCBRW,01/02/2018,BLACK,M,OTHERS,2018
53,ZZHECHZJ,01/02/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
54,ZZHJJCBW,01/02/2018,WHITE,F,OTHERS,2018
55,ZZSRHJRZ,01/02/2018,WHITE,M,OTHERS,2018
56,ZZHBJJSR,01/02/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
57,ZZHWHEEZ,01/02/2018,BLACK,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018
58,ZZHHCLBS,01/02/2018,HISPANIC,M,OTHERS,2018
59,ZZSRHJRH,01/02/2018,WHITE,F,OTHERS,2018
60,ZZHWZHSB,01/02/2018,BLACK,F,OTHERS,2018
61,ZZRRZCLC,01/02/2018,BLACK,M,OTHERS,2018
62,ZZRHLCCC,01/02/2018,HISPANIC,F,"ROBBERY, FIRST DEGREE                 BF",2018
63,ZZHHBEWB,01/02/2018,WHITE,M,OTHERS,2018
64,ZZSRHSLR,01/02/2018,WHITE,F,OTHERS,2018
65,ZZSRHJRE,01/02/2018,BLACK,M,OTHERS,2018
66,ZZHBCELS,01/02/2018,BLACK,M,OTHERS,2018
67,ZZHLJEEJ,01/02/2018,BLACK,M,OTHERS,2018
68,ZZSRHJZC,01/02/2018,WHITE,M,OTHERS,2018
69,ZZHRWREJ,01/02/2018,WHITE,F,OTHERS,2018
70,ZZRRCHCW,01/02/2018,HISPANIC,F,OTHERS,2018
71,ZZHJBCSS,01/02/2018,WHITE,M,"ASSAULT, THIRD DEGREE                 AM",2018
72,ZZSRESZB,01/02/2018,BLACK,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018
73,ZZHHWBCE,01/02/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
74,ZZHBCHJS,01/02/2018,BLACK,M,INJURY OR RISK OF INJURY TO MINOR      F,2018
75,ZZRCHRJH,01/02/2018,HISPANIC,M,INJURY OR RISK OF INJURY TO MINOR      F,2018
76,ZZHCCWEC,01/02/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
77,ZZRSLEWW,01/02/2018,WHITE,M,OTHERS,2018
78,ZZSRHJEL,01/02/2018,BLACK,M,OTHERS,2018
79,ZZSERSHS,01/02/2018,WHITE,M,"BURGLARY, THIRD DEGREE                DF",2018
80,ZZHJEELR,01/02/2018,WHITE,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018
81,ZZHEWJEC,01/02/2018,HISPANIC,M,OTHERS,2018
82,ZZHHELRJ,01/02/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
83,ZZSRHJHW,01/03/2018,BLACK,M,OTHERS,2018
84,ZZSEHCLE,01/03/2018,WHITE,M,OTHERS,2018
85,ZZRBHRCB,01/03/2018,BLACK,M,OTHERS,2018
86,ZZSRERZC,01/03/2018,WHITE,M,OTHERS,2018
87,ZZRBLJCR,01/03/2018,WHITE,M,OTHERS,2018
88,ZZSZBEZL,01/03/2018,BLACK,M,OTHERS,2018
89,ZZSRHJHR,01/03/2018,BLACK,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018
90,ZZSEWCBC,01/03/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
91,ZZHJSLRC,01/03/2018,WHITE,M,OTHERS,2018
92,ZZSRHJHJ,01/03/2018,WHITE,M,OTHERS,2018
93,ZZRRSWZB,01/03/2018,BLACK,M,OTHERS,2018
94,ZZSRHJHS,01/03/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
95,ZZRJHHWB,01/03/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
96,ZZSEHSWZ,01/03/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
97,ZZHWHESJ,01/03/2018,WHITE,M,OTHERS,2018
98,ZZSRHJWS,01/03/2018,BLACK,M,OTHERS,2018
99,ZZHWRWBZ,01/03/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
100,ZZSRHJWW,01/03/2018,ASIAN,F,OTHERS,2018
101,ZZRHBSLR,01/03/2018,HISPANIC,M,OTHERS,2018
102,ZZRHWBLH,01/03/2018,BLACK,M,"BURGLARY, THIRD DEGREE                DF",2018
103,ZZSRHJHB,01/03/2018,HISPANIC,M,OTHERS,2018
