GENDER,OFFENSE,0
F,"ASSAULT, FIRST DEGREE                 BF",25
F,"ASSAULT, THIRD DEGREE                 AM",80
F,"BURGLARY, THIRD DEGREE                DF",47
F,CRIM VIOL OF PROTECTIVE ORDER         DF,138
F,CRIMINAL POSSESSION OF A PISTOL       DF,6
F,"FAILURE TO APPEAR, FIRST DEGREE       DF",132
F,"FAILURE TO APPEAR, SECOND DEGREE      AM",258
F,INJURY OR RISK OF INJURY TO MINOR      F,119
F,OTHERS,1280
F,"ROBBERY, FIRST DEGREE                 BF",19
F,VIOLATION OF PROBATION OR COND DISCHG,436
M,"ASSAULT, FIRST DEGREE                 BF",170
M,"ASSAULT, THIRD DEGREE                 AM",465
M,"BURGLARY, THIRD DEGREE                DF",395
M,CRIM VIOL OF PROTECTIVE ORDER         DF,682
M,CRIMINAL POSSESSION OF A PISTOL       DF,171
M,"FAILURE TO APPEAR, FIRST DEGREE       DF",433
M,"FAILURE TO APPEAR, SECOND DEGREE      AM",724
M,INJURY OR RISK OF INJURY TO MINOR      F,599
M,OTHERS,7563
M,"ROBBERY, FIRST DEGREE                 BF",180
M,VIOLATION OF PROBATION OR COND DISCHG,2212
