RACE,GENDER,0,sum,%,Race,Population,,,Pre-trial,Inmates Per Own 1M Population,,,Crime,Crime Per Own 1K Population
AMER IND,F,7,50,0.309904549,,White,197064732,,,31.01518947,,,5319654,26.99444972
AMER IND,M,43,,,,Black,40310242,,,141.6761527,,,2115381,52.47750683
ASIAN,F,23,120,0.743770919,,American IND,2180266,,,22.93298157,,,164430,75.4174032
ASIAN,M,97,,,,Asian,18195260,,,6.595124225,,,92737,5.09676696
BLACK,F,643,5711,35.39729763,,Hispanic,62917648,,,65.81619198,,,1191334,18.9348146
BLACK,M,5068,,,,Total,320668148,,,50.31369689,,,"8,883,536",27.70320674
HISPANIC,F,431,4141,25.66629478,,,,,,,,,,
HISPANIC,M,3710,,,,,,,,,,,,
WHITE,F,1436,6112,37.88273212,,,,,,,,,,
WHITE,M,4676,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Gender,Population,,,Pre-trial,Inmates Per Own 1M Population,,,Crime,Crime Per Own 1K Population
,M Total,13594,84.25684889,,,Male,162638566,,,83.58411129,,,5684385,34.95102754
,F Total,2540,15.74315111,,,Female,167724026,,,15.14392458,,,2126700,12.67975764
,Total,16134,,,,Total,330362592,,,48.8372485,,,7811085,23.64397541
