,IDENTIFIER,LATEST ADMISSION DATE,RACE,GENDER,OFFENSE,Year
0,ZZRLJJCS,01/02/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
1,ZZHJJLER,01/02/2018,WHITE,M,OTHERS,2018
2,ZZSEEBHC,01/02/2018,HISPANIC,M,OTHERS,2018
3,ZZSRHJRS,01/02/2018,WHITE,F,OTHERS,2018
4,ZZEJLSRJ,01/02/2018,BLACK,M,OTHERS,2018
5,ZZHLZECE,01/02/2018,WHITE,M,OTHERS,2018
6,ZZSRHJZB,01/02/2018,WHITE,M,INJURY OR RISK OF INJURY TO MINOR      F,2018
7,ZZHHRBLZ,01/02/2018,HISPANIC,M,OTHERS,2018
8,ZZHRLZCR,01/02/2018,BLACK,M,OTHERS,2018
9,ZZSELJZH,01/02/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10,ZZHLWJZE,01/02/2018,HISPANIC,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018
11,ZZSRHJER,01/02/2018,WHITE,M,OTHERS,2018
12,ZZSRHJRJ,01/03/2018,WHITE,M,OTHERS,2018
13,ZZSZBBLR,01/03/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
14,ZZSRHJSL,01/03/2018,WHITE,M,OTHERS,2018
15,ZZHRJBEW,01/03/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
16,ZZHLHSZH,01/03/2018,WHITE,M,OTHERS,2018
17,ZZSEHEHE,01/03/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018
18,ZZSRHJSS,01/03/2018,HISPANIC,M,OTHERS,2018
19,ZZSRHJSE,01/03/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
20,ZZHBCWCZ,01/03/2018,WHITE,F,"BURGLARY, THIRD DEGREE                DF",2018
21,ZZRHCBBC,01/03/2018,BLACK,M,OTHERS,2018
22,ZZSZHHCL,01/03/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
23,ZZHBHHSE,01/03/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018
24,ZZSRHJSR,01/03/2018,WHITE,M,OTHERS,2018
25,ZZSZBZSH,01/03/2018,WHITE,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018
26,ZZSZWLSR,01/03/2018,ASIAN,M,"ASSAULT, THIRD DEGREE                 AM",2018
27,ZZHCEBHC,01/03/2018,WHITE,M,OTHERS,2018
28,ZZSRZCLC,01/03/2018,BLACK,M,OTHERS,2018
29,ZZHJBEEB,01/03/2018,BLACK,M,INJURY OR RISK OF INJURY TO MINOR      F,2018
30,ZZSEJESZ,01/03/2018,BLACK,M,OTHERS,2018
31,ZZEJRCLJ,01/03/2018,HISPANIC,M,OTHERS,2018
32,ZZHJJBSE,01/03/2018,BLACK,M,OTHERS,2018
33,ZZSRHJWC,01/03/2018,HISPANIC,F,OTHERS,2018
34,ZZRBEWLE,01/03/2018,BLACK,M,OTHERS,2018
35,ZZHJJCZJ,01/03/2018,WHITE,M,OTHERS,2018
36,ZZSRHJSJ,01/03/2018,WHITE,M,OTHERS,2018
37,ZZSRHJRB,01/03/2018,WHITE,M,OTHERS,2018
38,ZZECLZCC,01/03/2018,WHITE,M,OTHERS,2018
39,ZZSZLHJL,01/03/2018,WHITE,M,OTHERS,2018
40,ZZSRHJWH,01/03/2018,WHITE,M,"ASSAULT, THIRD DEGREE                 AM",2018
41,ZZSRHJCZ,01/05/2018,WHITE,M,OTHERS,2018
