GENDER,OFFENSE,0
F,"ASSAULT, FIRST DEGREE                 BF",9
F,"ASSAULT, THIRD DEGREE                 AM",12
F,"BURGLARY, THIRD DEGREE                DF",11
F,CRIM VIOL OF PROTECTIVE ORDER         DF,18
F,CRIMINAL POSSESSION OF A PISTOL       DF,3
F,"FAILURE TO APPEAR, FIRST DEGREE       DF",21
F,"FAILURE TO APPEAR, SECOND DEGREE      AM",20
F,INJURY OR RISK OF INJURY TO MINOR      F,16
F,OTHERS,184
F,"ROBBERY, FIRST DEGREE                 BF",5
F,VIOLATION OF PROBATION OR COND DISCHG,148
M,"ASSAULT, FIRST DEGREE                 BF",52
M,"ASSAULT, THIRD DEGREE                 AM",70
M,"BURGLARY, THIRD DEGREE                DF",102
M,CRIM VIOL OF PROTECTIVE ORDER         DF,125
M,CRIMINAL POSSESSION OF A PISTOL       DF,57
M,"FAILURE TO APPEAR, FIRST DEGREE       DF",77
M,"FAILURE TO APPEAR, SECOND DEGREE      AM",53
M,INJURY OR RISK OF INJURY TO MINOR      F,72
M,OTHERS,1064
M,"ROBBERY, FIRST DEGREE                 BF",53
M,VIOLATION OF PROBATION OR COND DISCHG,735
