RACE,OFFENSE,0
AMER IND,"ASSAULT, FIRST DEGREE                 BF",1
AMER IND,"ASSAULT, THIRD DEGREE                 AM",1
AMER IND,"BURGLARY, THIRD DEGREE                DF",1
AMER IND,CRIM VIOL OF PROTECTIVE ORDER         DF,1
AMER IND,"FAILURE TO APPEAR, SECOND DEGREE      AM",2
AMER IND,OTHERS,14
AMER IND,"ROBBERY, FIRST DEGREE                 BF",2
AMER IND,VIOLATION OF PROBATION OR COND DISCHG,7
ASIAN,"ASSAULT, THIRD DEGREE                 AM",3
ASIAN,"BURGLARY, THIRD DEGREE                DF",1
ASIAN,CRIM VIOL OF PROTECTIVE ORDER         DF,1
ASIAN,CRIMINAL POSSESSION OF A PISTOL       DF,1
ASIAN,"FAILURE TO APPEAR, SECOND DEGREE      AM",1
ASIAN,INJURY OR RISK OF INJURY TO MINOR      F,2
ASIAN,OTHERS,30
ASIAN,"ROBBERY, FIRST DEGREE                 BF",3
ASIAN,VIOLATION OF PROBATION OR COND DISCHG,5
BLACK,"ASSAULT, FIRST DEGREE                 BF",42
BLACK,"ASSAULT, THIRD DEGREE                 AM",124
BLACK,"BURGLARY, THIRD DEGREE                DF",66
BLACK,CRIM VIOL OF PROTECTIVE ORDER         DF,124
BLACK,CRIMINAL POSSESSION OF A PISTOL       DF,58
BLACK,"FAILURE TO APPEAR, FIRST DEGREE       DF",44
BLACK,"FAILURE TO APPEAR, SECOND DEGREE      AM",39
BLACK,INJURY OR RISK OF INJURY TO MINOR      F,59
BLACK,OTHERS,1727
BLACK,"ROBBERY, FIRST DEGREE                 BF",34
BLACK,VIOLATION OF PROBATION OR COND DISCHG,638
HISPANIC,"ASSAULT, FIRST DEGREE                 BF",25
HISPANIC,"ASSAULT, THIRD DEGREE                 AM",94
HISPANIC,"BURGLARY, THIRD DEGREE                DF",72
HISPANIC,CRIM VIOL OF PROTECTIVE ORDER         DF,60
HISPANIC,CRIMINAL POSSESSION OF A PISTOL       DF,35
HISPANIC,"FAILURE TO APPEAR, FIRST DEGREE       DF",23
HISPANIC,"FAILURE TO APPEAR, SECOND DEGREE      AM",39
HISPANIC,INJURY OR RISK OF INJURY TO MINOR      F,51
HISPANIC,OTHERS,1300
HISPANIC,"ROBBERY, FIRST DEGREE                 BF",15
HISPANIC,VIOLATION OF PROBATION OR COND DISCHG,454
WHITE,"ASSAULT, FIRST DEGREE                 BF",15
WHITE,"ASSAULT, THIRD DEGREE                 AM",104
WHITE,"BURGLARY, THIRD DEGREE                DF",118
WHITE,CRIM VIOL OF PROTECTIVE ORDER         DF,125
WHITE,CRIMINAL POSSESSION OF A PISTOL       DF,24
WHITE,"FAILURE TO APPEAR, FIRST DEGREE       DF",50
WHITE,"FAILURE TO APPEAR, SECOND DEGREE      AM",71
WHITE,INJURY OR RISK OF INJURY TO MINOR      F,40
WHITE,OTHERS,2221
WHITE,"ROBBERY, FIRST DEGREE                 BF",19
WHITE,VIOLATION OF PROBATION OR COND DISCHG,846
